rank,candidate_id,headword,round1_role,known_noun_question_ja,known_noun_correct_ja,known_noun_distractor_ja_1,known_noun_distractor_ja_2,known_noun_distractor_ja_3,target_context_sentence_en,target_verb_question_ja,target_verb_correct_ja,target_verb_distractor_ja_1,target_verb_distractor_ja_2,target_verb_distractor_ja_3,relatedness_display_ja,guessability_display_ja,gloss_variants_to_test,prompt_notes,prompt_source,round1_use_priority,source_audit_decision,risk_summary,source_notes
1,homo_nv_p02,cow,core_final_set_contender,cow の名詞の意味として最も適切なものを選んでください。,牛,犬,海岸,床,The coach tried to cow the players into silence.,次の文の cow の意味として最も適切なものを選んでください。,おびえさせて従わせる,餌をやる,数える,磨く,名詞「牛」と動詞「おびえさせて従わせる」はどの程度関連していると感じますか。,名詞「牛」だけを知っていたとして、動詞「おびえさせて従わせる」をどの程度推測できそうですか。,おびえさせて従わせる; 威圧する,Keep the intimidation context clear but avoid rare words beyond the target.,top10_pre_pilot_pack,core_contender,continue_audit,register=medium; phrase-boundness=medium,"Cow as an animal noun is visible, and cow as intimidate is dictionary-supported without a Japanese loanword bridge. The main risk is context clarity for the abstract intimidation target."
2,homo_nv_p07,dog,core_final_set_contender,dog の名詞の意味として最も適切なものを選んでください。,犬,牛,アヒル,帽子,Reporters may dog the actor for weeks.,次の文の dog の意味として最も適切なものを選んでください。,しつこく追跡する,ほめる,料理する,眠らせる,名詞「犬」と動詞「しつこく追跡する」はどの程度関連していると感じますか。,名詞「犬」だけを知っていたとして、動詞「しつこく追跡する」をどの程度推測できそうですか。,しつこく追跡する; つきまとう,Norm whether animal behavior makes the verb too guessable.,top10_pre_pilot_pack,core_contender,continue_audit,register=medium; phrase-boundness=medium; conversion transparency=medium; guessability=medium,"Dog as follow/pursue is dictionary-supported and not loanword-cued. The animal behavior route may make the target somewhat guessable, so norming must decide."
3,low_nv_x07,pound,core_final_set_contender,pound の名詞の意味として最も適切なものを選んでください。,ポンド,針,胃,正方形,The rain will pound the roof all night.,次の文の pound の意味として最も適切なものを選んでください。,激しく打つ,値段を下げる,港に入る,名前を変える,名詞「ポンド」と動詞「激しく打つ」はどの程度関連していると感じますか。,名詞「ポンド」だけを知っていたとして、動詞「激しく打つ」をどの程度推測できそうですか。,激しく打つ; 強くたたく,Check whether pound as weight or currency is familiar enough without cueing the hitting verb.,top10_pre_pilot_pack,core_contender,continue_audit,school English=medium; loanword=medium,Pound as a unit/currency noun and pound as hit are dictionary-supported and not strongly bridged by Japanese loanword knowledge. It remains a plausible low-relatedness candidate.
4,homo_nv_p04,coast,core_final_set_contender,coast の名詞の意味として最も適切なものを選んでください。,海岸,床,牛,帽子,The bike can coast down the hill.,次の文の coast の意味として最も適切なものを選んでください。,惰性で進む,海岸を作る,強くたたく,からかう,名詞「海岸」と動詞「楽に進む」はどの程度関連していると感じますか。,名詞「海岸」だけを知っていたとして、動詞「楽に進む」をどの程度推測できそうですか。,楽に進む; 惰性で進む,"The sentence is simple, but norm whether motion imagery makes the target too guessable.",top10_pre_pilot_pack,core_contender,continue_audit,domain=medium; phrase-boundness=medium; conversion transparency=medium; guessability=medium,"Coast has a familiar shore noun and a motion-without-power verb. The verb is not loanword-cued, but the motion route may be only moderately distant."
5,homo_nv_p03,floor,core_final_set_contender,floor の名詞の意味として最も適切なものを選んでください。,床,海岸,牛,光線,The hard question will floor many students.,次の文の floor の意味として最も適切なものを選んでください。,完全に困惑させる,掃除する,歩かせる,値段を決める,名詞「床」と動詞「完全に困惑させる」はどの程度関連していると感じますか。,名詞「床」だけを知っていたとして、動詞「完全に困惑させる」をどの程度推測できそうですか。,完全に困惑させる; 困惑させる,Norm whether learners infer the verb from knocking someone down.,top10_pre_pilot_pack,core_contender,continue_audit,loanword=medium; register=medium; phrase-boundness=medium; conversion transparency=medium; guessability=medium,"Floor as an object/place noun is highly visible. The target can mean dumbfound, but this may be conceptually linked to knocking someone down, so relatedness and guessability must be normed."
6,low_nv_x25,needle,core_final_set_contender,needle の名詞の意味として最も適切なものを選んでください。,針,鉛筆,スカート,卵,His friends may needle him about the mistake.,次の文の needle の意味として最も適切なものを選んでください。,しつこくからかう,縫う,測る,笑顔になる,名詞「針」と動詞「からかう」はどの程度関連していると感じますか。,名詞「針」だけを知っていたとして、動詞「からかう」をどの程度推測できそうですか。,からかう; しつこくからかう,Informal register needs a direct acceptability check for A2-B1 learners.,top10_pre_pilot_pack,core_contender,continue_audit,register=medium,"Needle as a tool noun is dictionary-supported, and the target criticize or tease sense is also dictionary-supported but informal. It is unlikely to be loanword-cued for Japanese A2-B1 learners."
7,low_nv_x13,cap,core_final_set_contender,cap の名詞の意味として最も適切なものを選んでください。,帽子,牛,針,港,The school may cap the class at thirty students.,次の文の cap の意味として最も適切なものを選んでください。,上限を設ける,帽子をかぶせる,教室を掃除する,大声で読む,名詞「帽子」と動詞「制限する」はどの程度関連していると感じますか。,名詞「帽子」だけを知っていたとして、動詞「制限する」をどの程度推測できそうですか。,制限する; 上限を設ける,Target preknowledge through capacity or price-cap language must be checked.,top10_pre_pilot_pack,core_contender,continue_audit,school English=medium; loanword=medium; Japanese transfer=medium; register=medium; domain=medium,"Cap as hat is visible, while cap as limit is not obviously inferable from the hat noun. Watch for prior knowledge through capacity/cap-on-prices uses."
8,low_nv_x27,bolt,core_final_set_contender,bolt の名詞の意味として最も適切なものを選んでください。,ボルト,マグカップ,切り株,光線,The horse may bolt when it hears a loud noise.,次の文の bolt の意味として最も適切なものを選んでください。,急に逃げる,ねじで留める,食べ物を出す,静かに眠る,名詞「ボルト」と動詞「急に逃げる」はどの程度関連していると感じますか。,名詞「ボルト」だけを知っていたとして、動詞「急に逃げる」をどの程度推測できそうですか。,急に逃げる; 急に走り去る,Include a noun-route check so Bolt as a name does not replace the hardware noun route.,top10_pre_pilot_pack,core_contender,continue_audit,loanword=medium; Japanese transfer=medium,Bolt as a hardware noun and bolt as move very fast or run away are dictionary-supported. Japanese Bolt-name contamination is possible but the target is not directly loanword-cued.
9,low_nv_x03,frame,core_final_set_contender,frame の名詞の意味として最も適切なものを選んでください。,額縁,ポンド,海岸,帽子,The thief tried to frame another man.,次の文の frame の意味として最も適切なものを選んでください。,罪を着せる,写真を飾る,道を渡る,音を出す,名詞「額縁」と動詞「罪を着せる」はどの程度関連していると感じますか。,名詞「額縁」だけを知っていたとして、動詞「罪を着せる」をどの程度推測できそうですか。,罪を着せる; でっち上げる,Legal context should stay simple; avoid advanced crime vocabulary beyond innocent.,top10_pre_pilot_pack,core_contender,continue_audit,loanword=medium; register=medium; domain=medium; phrase-boundness=medium,"Frame as an object noun is visible enough, while frame someone is likely not transparent from the Japanese noun route. The legal/accusation context needs norming."
10,low_nv_x24,stomach,core_final_set_contender,stomach の名詞の意味として最も適切なものを選んでください。,胃,針,床,銀行,I cannot stomach his rude jokes.,次の文の stomach の意味として最も適切なものを選んでください。,我慢する,食事を作る,大声で笑う,急に走る,名詞「胃」と動詞「我慢する」はどの程度関連していると感じますか。,名詞「胃」だけを知っていたとして、動詞「我慢する」をどの程度推測できそうですか。,我慢する; 耐える,Norm whether body-part imagery makes tolerate too guessable.,top10_pre_pilot_pack,core_contender,continue_audit,school English=medium; register=medium; phrase-boundness=medium; conversion transparency=medium; guessability=medium,"Stomach has an A2 body-part noun and a dictionary-supported tolerate or endure verb. The body-to-emotion route may be moderately inferable, so norming must check relatedness and prior knowledge."
